Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
capsid [Adeno-associated virus - 4],Adeno-associated virus - 4,1524,1524,100%,0.0,100.00,734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_044927.1?report=genbank&log$=prottop&blast_rank=1&RID=3MS32MHJ01R"",""NP_044927.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,1268,1268,99%,0.0,81.83,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55318.1?report=genbank&log$=prottop&blast_rank=2&RID=3MS32MHJ01R"",""ACB55318.1"")"
capsid protein [Adeno-associated virus 11],Adeno-associated virus 11,1267,1267,99%,0.0,81.69,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT46339.1?report=genbank&log$=prottop&blast_rank=3&RID=3MS32MHJ01R"",""AAT46339.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,1256,1256,99%,0.0,81.28,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88187.1?report=genbank&log$=prottop&blast_rank=4&RID=3MS32MHJ01R"",""AAO88187.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,1255,1255,99%,0.0,81.28,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88188.1?report=genbank&log$=prottop&blast_rank=5&RID=3MS32MHJ01R"",""AAO88188.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,1254,1254,99%,0.0,81.15,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88189.1?report=genbank&log$=prottop&blast_rank=6&RID=3MS32MHJ01R"",""AAO88189.1"")"
VP1 [Adeno-associated virus 12],Adeno-associated virus 12,1229,1229,99%,0.0,78.95,742,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABI16639.1?report=genbank&log$=prottop&blast_rank=7&RID=3MS32MHJ01R"",""ABI16639.1"")"
Cap [Bovine adeno-associated virus],Bovine adeno-associated virus,1159,1159,99%,0.0,77.26,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_024971.1?report=genbank&log$=prottop&blast_rank=8&RID=3MS32MHJ01R"",""YP_024971.1"")"
cap [Bovine adeno-associated virus],Bovine adeno-associated virus,1158,1158,99%,0.0,77.40,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJE25863.1?report=genbank&log$=prottop&blast_rank=9&RID=3MS32MHJ01R"",""AJE25863.1"")"
Structurally mapping the diverse phenotype of Adeno-Associated Virus serotype 4 [Adeno-associated virus - 4],Adeno-associated virus - 4,1093,1093,71%,0.0,100.00,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/2G8G_A?report=genbank&log$=prottop&blast_rank=10&RID=3MS32MHJ01R"",""2G8G_A"")"
capsid protein [Dependoparvovirus sp.],Dependoparvovirus sp.,1064,1064,99%,0.0,71.00,730,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKN88776.1?report=genbank&log$=prottop&blast_rank=11&RID=3MS32MHJ01R"",""QKN88776.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,1031,1031,99%,0.0,70.82,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHD57627.1?report=genbank&log$=prottop&blast_rank=12&RID=3MS32MHJ01R"",""QHD57627.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,968,968,99%,0.0,65.23,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89595.1?report=genbank&log$=prottop&blast_rank=13&RID=3MS32MHJ01R"",""AKU89595.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,967,967,99%,0.0,65.91,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89596.1?report=genbank&log$=prottop&blast_rank=14&RID=3MS32MHJ01R"",""AKU89596.1"")"
capsid protein [Adeno-associated virus 13],Adeno-associated virus 13,961,961,100%,0.0,65.11,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABZ10812.1?report=genbank&log$=prottop&blast_rank=15&RID=3MS32MHJ01R"",""ABZ10812.1"")"
Cap protein [Recombinant adeno-associated virus vector AAV-LK19],Recombinant adeno-associated virus vector AAV-LK19,956,956,99%,0.0,64.89,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGT20780.1?report=genbank&log$=prottop&blast_rank=16&RID=3MS32MHJ01R"",""AGT20780.1"")"
Crystal structure of adeno-associated virus serotype 3B [Adeno-associated virus 3B],Adeno-associated virus 3B,951,951,99%,0.0,64.12,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/3KIC_A?report=genbank&log$=prottop&blast_rank=17&RID=3MS32MHJ01R"",""3KIC_A"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,950,950,99%,0.0,64.29,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89601.1?report=genbank&log$=prottop&blast_rank=18&RID=3MS32MHJ01R"",""AKU89601.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,950,950,99%,0.0,64.10,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89602.1?report=genbank&log$=prottop&blast_rank=19&RID=3MS32MHJ01R"",""AKU89602.1"")"
capsid protein VP1 [synthetic construct],synthetic construct,947,947,99%,0.0,63.84,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLI60567.1?report=genbank&log$=prottop&blast_rank=20&RID=3MS32MHJ01R"",""QLI60567.1"")"
capsid protein [Adeno-associated virus - 7],Adeno-associated virus - 7,942,942,99%,0.0,63.75,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_077178.1?report=genbank&log$=prottop&blast_rank=21&RID=3MS32MHJ01R"",""YP_077178.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,942,942,99%,0.0,64.25,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89599.1?report=genbank&log$=prottop&blast_rank=22&RID=3MS32MHJ01R"",""AKU89599.1"")"
major coat protein VP1 [Adeno-associated virus],Adeno-associated virus,942,942,99%,0.0,63.55,734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDH44242.1?report=genbank&log$=prottop&blast_rank=23&RID=3MS32MHJ01R"",""QDH44242.1"")"
capsid protein [Adeno-associated virus - 8],Adeno-associated virus - 8,941,941,99%,0.0,64.39,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_077180.1?report=genbank&log$=prottop&blast_rank=24&RID=3MS32MHJ01R"",""YP_077180.1"")"
